pmppp_1mM,,pmppp_500uM,,pmppp_250uM,,pmppp_125uM,,pmppp_62uM,,pmppp_31uM,,pmppp_15uM,,pmppp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9869995,9.048088396E-5,799.9869995,-0.0003784432483,799.9869995,0.0002397702483,799.9869995,2.068338108E-5,799.9869995,-4.514278407E-5,799.9869995,-9.618160402E-5,799.9869995,-0.0004794023116,799.9869995,0.000486644014,
799.4314575,-0.0003087098594,799.4314575,0.0002320520289,799.4314575,1.612725828E-5,799.4314575,0.0002901232801,799.4314575,4.747746061E-5,799.4314575,0.0001941363735,799.4314575,-0.0008444071864,799.4314575,-0.0002736837487,
799.0147095,0.0004830936668,799.0147095,0.0002100895508,799.0147095,0.0002311973367,799.0147095,0.0004862812057,799.0147095,8.752927533E-5,799.0147095,0.0004010034027,799.0147095,0.0002524615556,799.0147095,-3.701535752E-5,
798.4589233,0.0001658830734,798.4589233,0.0005028671003,798.4589233,0.0003810273483,798.4589233,8.390453149E-5,798.4589233,0.0001025723177,798.4589233,-2.303790097E-5,798.4589233,5.353548113E-5,798.4589233,0.0002278562897,
798.0420532,0.0005960449344,798.0420532,0.0002639358572,798.0420532,6.98459553E-5,798.0420532,-0.0004682834551,798.0420532,-0.0003092272091,798.0420532,-0.000715674716,798.0420532,-0.0002875496575,798.0420532,2.53948765E-5,
797.4860229,0.000761715055,797.4860229,0.001031615189,797.4860229,-0.0001886677201,797.4860229,0.0005625815829,797.4860229,0.0006521687028,797.4860229,0.0005293540307,797.4860229,0.0003124783689,797.4860229,0.0004157722869,
797.0689697,0.0002425415732,797.0689697,0.0005340710049,797.0689697,-0.0001284789469,797.0689697,0.001033353736,797.0689697,0.0006006589974,797.0689697,0.0004230532795,797.0689697,0.001295296242,797.0689697,0.0006162382779,
796.5128174,5.798495749E-6,796.5128174,0.0001068445345,796.5128174,-3.339161412E-5,796.5128174,5.563251034E-5,796.5128174,0.0006324403221,796.5128174,0.0006077098078,796.5128174,0.000481668365,796.5128174,-0.000130497443,
795.9564819,0.0001791160612,795.9564819,4.799523595E-5,795.9564819,-1.025072288E-5,795.9564819,-0.0001459205669,795.9564819,0.0002569942444,795.9564819,-0.0005211858661,795.9564819,-0.0003220055951,795.9564819,-0.0003740464454,
795.5391846,2.166709601E-5,795.5391846,0.0005166286719,795.5391846,0.0008770473651,795.5391846,-0.0003949437814,795.5391846,0.0002268980024,795.5391846,0.000356907025,795.5391846,0.0001596163202,795.5391846,-0.0003489062074,
794.982605,0.0004200735129,794.982605,9.855906683E-5,794.982605,0.0001647436584,794.982605,-0.0001268744818,794.982605,-0.0002375164622,794.982605,6.552232662E-5,794.982605,-3.753303099E-5,794.982605,-0.0001294623216,
794.5651245,0.0001924271346,794.5651245,5.332542059E-6,794.5651245,-0.0001243901497,794.5651245,4.926379188E-5,794.5651245,-0.0001103637478,794.5651245,4.248095138E-5,794.5651245,-0.0005430585588,794.5651245,0.0002914443321,
794.0084229,0.0001270928187,794.0084229,0.0002409616573,794.0084229,5.187857823E-5,794.0084229,5.708231038E-5,794.0084229,-0.0002473476343,794.0084229,0.0001065856122,794.0084229,-5.710069308E-5,794.0084229,-0.0003046227503,
793.4515381,-0.0001131069512,793.4515381,-0.0006567478995,793.4515381,-0.0002681993356,793.4515381,-0.0001298246061,793.4515381,-0.0007198613603,793.4515381,-0.0001811122347,793.4515381,-0.0005736681633,793.4515381,4.258450645E-5,
793.0338135,-0.0004988983274,793.0338135,-0.0001413143909,793.0338135,-0.0001803359773,793.0338135,-0.0003880643344,793.0338135,-0.0005128087942,793.0338135,-0.0001700892753,793.0338135,-0.0003422329319,793.0338135,-0.0002772537409,
792.4767456,-0.0003068991355,792.4767456,-0.0006791307242,792.4767456,0.0001096668057,792.4767456,6.254500477E-5,792.4767456,-0.0003673735482,792.4767456,-0.0003720808018,792.4767456,-0.0005356126931,792.4767456,-0.0004772302636,
792.0588379,1.928547499E-5,792.0588379,-0.0003759603424,792.0588379,-0.0003281100944,792.0588379,-0.0008628534852,792.0588379,-0.000409633416,792.0588379,-0.0008576865657,792.0588379,-0.000570927863,792.0588379,-0.0002281507623,
791.5015259,-0.0001456100435,791.5015259,-0.000387650507,791.5015259,-0.000135517781,791.5015259,-0.0009881331353,791.5015259,-0.0006935005658,791.5015259,-0.0005318379845,791.5015259,-0.0003678908397,791.5015259,-0.0006328647723,
