pmppp_10uM,,pmppp_20uM,,pmppp_30uM,,pmppp_40uM,,pmppp_50uM,,pmppp_60uM,,pmppp_70uM,,pmppp_80uM,,pmppp_90uM,,pmppp_100uM,,pmppp_110uM,,pmppp_120uM,,pmppp_130uM,,pmppp_140uM,,pmppp_150uM,,pmppp_160uM,,pmppp_170uM,,pmppp_180uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9869995,0.001636769855,799.9869995,0.0008152926457,799.9869995,0.001360884402,799.9869995,0.000850046461,799.9869995,0.0004123261606,799.9869995,0.000502685667,799.9869995,0.002876114566,799.9869995,0.002419037977,799.9869995,0.003052145941,799.9869995,0.0001887238177,799.9869995,0.0001194542856,799.9869995,2.192596912E-5,799.9869995,0.0002232202824,799.9869995,0.0004231569183,799.9869995,0.002242144197,799.9869995,0.002877808409,799.9869995,-3.639414717E-5,799.9869995,0.0001268079795,
799.4314575,0.0008712631534,799.4314575,-0.0001956021006,799.4314575,0.0007492681616,799.4314575,0.0009313914925,799.4314575,0.0006045213668,799.4314575,0.0005898497766,799.4314575,0.002669992857,799.4314575,0.002103480045,799.4314575,0.004065542482,799.4314575,0.0002135858667,799.4314575,9.824836161E-5,799.4314575,-0.0001266674517,799.4314575,-0.0001313772955,799.4314575,0.001019757357,799.4314575,0.002237981185,799.4314575,0.001706281793,799.4314575,-6.978296733E-5,799.4314575,0.0003698608489,
799.0147095,0.0006244818214,799.0147095,-0.0003842365986,799.0147095,0.0007737992564,799.0147095,0.0001832077542,799.0147095,0.0002273641876,799.0147095,0.0003965987416,799.0147095,0.00173011329,799.0147095,0.002153997542,799.0147095,0.004235756584,799.0147095,0.0003418292617,799.0147095,0.0005615966511,799.0147095,0.0002075256052,799.0147095,-0.0001437468745,799.0147095,-0.0003280583769,799.0147095,0.001675565261,799.0147095,0.001718132407,799.0147095,2.920035331E-5,799.0147095,-0.0002177499409,
798.4589233,0.001141413115,798.4589233,1.444461031E-5,798.4589233,0.0006077616708,798.4589233,0.0002379054204,798.4589233,0.0004714581009,798.4589233,0.000572327408,798.4589233,0.002724666148,798.4589233,0.002322345274,798.4589233,0.003510907525,798.4589233,-4.374508353E-5,798.4589233,0.0006456356496,798.4589233,0.0004343507171,798.4589233,-5.389124271E-5,798.4589233,4.530068054E-6,798.4589233,0.002084543929,798.4589233,0.002101113088,798.4589233,6.593656872E-5,798.4589233,0.0002060753031,
798.0420532,0.0007445488009,798.0420532,-0.0005971409846,798.0420532,0.001523002051,798.0420532,0.000605454552,798.0420532,0.0004411396803,798.0420532,0.001010727952,798.0420532,0.002747381339,798.0420532,0.002121636644,798.0420532,0.002772494452,798.0420532,0.0001596422226,798.0420532,0.000446477643,798.0420532,-0.0003922023461,798.0420532,-0.0003706324205,798.0420532,0.0005518769613,798.0420532,0.001489908667,798.0420532,0.001805748791,798.0420532,-0.0001240796119,798.0420532,0.0001816539443,
797.4860229,0.001643447671,797.4860229,-0.0002229762467,797.4860229,0.001546953456,797.4860229,0.000651702052,797.4860229,0.0008683321648,797.4860229,0.001322246972,797.4860229,0.003149340162,797.4860229,0.002655563876,797.4860229,0.001204356318,797.4860229,0.0002762911608,797.4860229,0.0001347055804,797.4860229,-9.276540368E-5,797.4860229,0.0001551105379,797.4860229,0.0006319477689,797.4860229,0.00225921371,797.4860229,0.002435958246,797.4860229,0.001207107911,797.4860229,3.173735604E-5,
797.0689697,0.001035507419,797.0689697,0.0001486626716,797.0689697,0.001580466749,797.0689697,0.001403732458,797.0689697,0.0007178931846,797.0689697,0.0004772887914,797.0689697,0.003269351088,797.0689697,0.002669654321,797.0689697,0.001078556874,797.0689697,0.0003522178449,797.0689697,0.000614734774,797.0689697,0.0002717323368,797.0689697,0.0002882841509,797.0689697,0.0005929603358,797.0689697,0.002093283692,797.0689697,0.002375959419,797.0689697,0.0009241279331,797.0689697,0.0001840882469,
796.5128174,0.001106065116,796.5128174,0.0005291207344,796.5128174,0.001381528913,796.5128174,0.0008665684145,796.5128174,0.0008294013096,796.5128174,0.001222319552,796.5128174,0.002824366558,796.5128174,0.002525437856,796.5128174,0.0009139332105,796.5128174,0.0005289393594,796.5128174,0.0005250776303,796.5128174,0.0004277173139,796.5128174,0.0002611643868,796.5128174,9.490832599E-5,796.5128174,0.001771490206,796.5128174,0.002229628852,796.5128174,-0.0002401553793,796.5128174,0.0002222620096,
795.9564819,0.0008738310426,795.9564819,0.0006333735655,795.9564819,0.001568230218,795.9564819,0.0008090165211,795.9564819,0.0008062674897,795.9564819,0.0003430727811,795.9564819,0.003454074031,795.9564819,0.00207153894,795.9564819,0.0009446996846,795.9564819,-0.0002620939922,795.9564819,0.0006031474913,795.9564819,0.0002660338941,795.9564819,0.0003154833103,795.9564819,0.0005763968802,795.9564819,0.002547179349,795.9564819,0.001780899358,795.9564819,0.0004783253826,795.9564819,0.0001477563492,
795.5391846,0.0007950901054,795.5391846,3.101249604E-5,795.5391846,0.001679073321,795.5391846,0.001211053575,795.5391846,-0.0007365556667,795.5391846,0.0007558805519,795.5391846,0.003262752434,795.5391846,0.002529994352,795.5391846,0.0004521266092,795.5391846,0.0003509224916,795.5391846,0.0004706806794,795.5391846,-4.478041592E-5,795.5391846,-0.0002508661128,795.5391846,0.0006377028185,795.5391846,0.002014997415,795.5391846,0.002483364195,795.5391846,-0.0005440409877,795.5391846,8.801238209E-7,
794.982605,0.001130798017,794.982605,-0.0002600761072,794.982605,0.001386800548,794.982605,0.0008299719193,794.982605,-3.10630503E-6,794.982605,0.0006860538269,794.982605,0.002499740105,794.982605,0.002376011573,794.982605,0.001073263003,794.982605,0.0006176381139,794.982605,6.505630881E-5,794.982605,-0.0001765581837,794.982605,-0.0002631805255,794.982605,9.723858238E-5,794.982605,0.00175438798,794.982605,0.002360967686,794.982605,-0.0001023410587,794.982605,0.0003021684533,
