pmpp_10uM,,pmpp_20uM,,pmpp_30uM,,pmpp_40uM,,pmpp_50uM,,pmpp_60uM,,pmpp_70uM,,pmpp_80uM,,pmpp_90uM,,pmpp_100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9869995,0.0006688386784,799.9869995,0.0008255888242,799.9869995,0.001431313227,799.9869995,0.0002788036945,799.9869995,0.001947828219,799.9869995,0.0004128962173,799.9869995,1.509178219E-5,799.9869995,0.001239738311,799.9869995,0.001286624582,799.9869995,0.0009280969389,
799.4314575,0.0006875575637,799.4314575,0.0007873879513,799.4314575,0.0012569502,799.4314575,-0.0003100032336,799.4314575,0.001812845119,799.4314575,-0.000237930406,799.4314575,0.0005570348003,799.4314575,0.002266187454,799.4314575,0.0009807869792,799.4314575,0.0003372179635,
799.0147095,0.0008696549921,799.0147095,0.00102681492,799.0147095,0.00158955995,799.0147095,0.0001556543284,799.0147095,0.001525781583,799.0147095,2.047628368E-5,799.0147095,0.0001215516313,799.0147095,0.001621101866,799.0147095,0.0006596351159,799.0147095,8.908275049E-5,
798.4589233,0.0001385897049,798.4589233,0.0007834461285,798.4589233,0.001281509991,798.4589233,0.0002155541733,798.4589233,0.00212915428,798.4589233,-0.0002176464477,798.4589233,7.882992941E-5,798.4589233,0.001097890316,798.4589233,0.0009071627865,798.4589233,0.0004600042012,
798.0420532,0.00081500737,798.0420532,0.0008611734374,798.0420532,0.001194181037,798.0420532,0.000148118881,798.0420532,0.001324220328,798.0420532,-0.0001754196564,798.0420532,-0.000220440721,798.0420532,0.0007330877124,798.0420532,0.0002151915833,798.0420532,0.0003457411367,
797.4860229,0.001194336684,797.4860229,0.0006395175005,797.4860229,0.001421262394,797.4860229,0.0002301872446,797.4860229,0.002264235867,797.4860229,0.0008710297407,797.4860229,0.0003929973172,797.4860229,0.001172351534,797.4860229,0.0003939559683,797.4860229,0.001254821313,
797.0689697,0.0006233411841,797.0689697,0.0005992333172,797.0689697,0.001323441393,797.0689697,0.0002708257816,797.0689697,0.002237903187,797.0689697,0.0008155779215,797.0689697,0.0003044739133,797.0689697,0.001570256543,797.0689697,0.0003924532211,797.0689697,0.001308979117,
796.5128174,0.0007790375967,796.5128174,9.097281873E-5,796.5128174,0.001304669073,796.5128174,0.0001109096484,796.5128174,0.002837211825,796.5128174,0.0008922474808,796.5128174,0.0006364585133,796.5128174,0.001402589842,796.5128174,0.0002348492126,796.5128174,0.0007470381679,
795.9564819,0.0004252039071,795.9564819,0.0007580328383,795.9564819,0.0008679949678,795.9564819,0.0001209560869,795.9564819,0.002005947288,795.9564819,0.001125269919,795.9564819,0.000498772366,795.9564819,0.001388098928,795.9564819,0.0004876287712,795.9564819,0.0002819638175,
