ppp_1mM,,ppp_500uM,,ppp_250uM,,ppp_125uM,,ppp_62uM,,ppp_31uM,,ppp_15uM,,ppp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9869995,0.0004835342115,799.9869995,0.000309499359,799.9869995,0.0007333729882,799.9869995,0.0003667518904,799.9869995,0.000427250925,799.9869995,0.0003679695656,799.9869995,0.002925497247,799.9869995,0.0009225714603,
799.4314575,0.001037479378,799.4314575,0.0009311061585,799.4314575,0.0006929244846,799.4314575,-0.0002928268805,799.4314575,0.0005221230676,799.4314575,0.0007650861517,799.4314575,0.00142253493,799.4314575,-0.0001022375436,
799.0147095,0.001002710662,799.0147095,0.0004050194693,799.0147095,-0.0002688202367,799.0147095,0.0006768757594,799.0147095,0.0002396407363,799.0147095,-3.54105614E-5,799.0147095,0.001280419528,799.0147095,0.0003704567207,
798.4589233,0.0005032817717,798.4589233,0.001214272343,798.4589233,0.0002777157933,798.4589233,0.0003484095214,798.4589233,-0.0004737653362,798.4589233,0.0006708868314,798.4589233,0.0006422914448,798.4589233,-0.0001321018935,
798.0420532,-8.722695202E-5,798.0420532,0.0009979107417,798.0420532,0.0002477735106,798.0420532,3.468858267E-5,798.0420532,0.000173159875,798.0420532,0.0005020637182,798.0420532,0.0005160844303,798.0420532,0.0002105816238,
797.4860229,0.0009097827133,797.4860229,0.0006494465633,797.4860229,0.0007346694474,797.4860229,0.0008952564094,797.4860229,0.0006652090815,797.4860229,0.0007293798262,797.4860229,0.001402953407,797.4860229,0.0004001224879,
797.0689697,0.0001131105237,797.0689697,0.001344110002,797.0689697,0.0004339620355,797.0689697,0.000689035398,797.0689697,0.0007127593271,797.0689697,0.0007196823135,797.0689697,0.0008847510908,797.0689697,0.0007702984731,
796.5128174,0.001140219276,796.5128174,-0.0001601528347,796.5128174,0.0006008145283,796.5128174,-0.0001365011412,796.5128174,0.0001503976237,796.5128174,0.0002140520373,796.5128174,0.0007601332618,796.5128174,0.0008650899981,
795.9564819,0.0006597906468,795.9564819,0.0007018954493,795.9564819,0.0005912754568,795.9564819,0.0001037115726,795.9564819,-0.0004434590228,795.9564819,0.0003463111061,795.9564819,0.0008204796468,795.9564819,0.0003150688426,
795.5391846,0.0003732548212,795.5391846,-1.511714254E-5,795.5391846,0.0007521205698,795.5391846,0.000494625885,795.5391846,2.037273407E-5,795.5391846,0.0003379692498,795.5391846,0.0009344007121,795.5391846,0.0006229263963,
794.982605,0.0005194795667,794.982605,1.012153189E-5,794.982605,0.0001961045928,794.982605,0.000460107869,794.982605,-2.557458356E-5,794.982605,0.0001234159427,794.982605,-0.0002190953383,794.982605,0.0004437568132,
794.5651245,0.0002701264166,794.5651245,0.0002078622929,794.5651245,0.0003323994752,794.5651245,0.0003720371169,794.5651245,0.0002282188798,794.5651245,0.0006727275904,794.5651245,0.0002662411134,794.5651245,-6.377834507E-5,
