pp_mecn_1mM,,pp_mecn_500uM,,pp_mecn_250uM,,pp_mecn_125uM,,pp_mecn_62uM,,pp_mecn_31uM,,pp_mecn_15uM,,pp_mecn_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9869995,0.000213896652,799.9869995,0.0009902049787,799.9869995,0.0001854607835,799.9869995,-0.000167967446,799.9869995,0.000514944084,799.9869995,0.0001926084224,799.9869995,8.693378186E-5,799.9869995,0.0003021943558,
799.4314575,0.0009776736842,799.4314575,0.0002519953414,799.4314575,0.0007270980277,799.4314575,0.0007770148804,799.4314575,0.0004836378794,799.4314575,0.0001644070144,799.4314575,0.000592104916,799.4314575,0.0002477476082,
799.0147095,0.0009603691869,799.0147095,0.0001481706713,799.0147095,0.0003431245859,799.0147095,0.0007359141018,799.0147095,0.0002937497338,799.0147095,6.790420593E-5,799.0147095,0.001150964294,799.0147095,0.0003128151293,
798.4589233,0.0006542945048,798.4589233,0.0004768482468,798.4589233,0.0009149188991,798.4589233,0.0002529795747,798.4589233,0.0002320779313,798.4589233,0.0001234936208,798.4589233,-3.613530862E-5,798.4589233,0.0005207753857,
798.0420532,0.000627411122,798.0420532,-7.594279305E-5,798.0420532,-0.0001450925047,798.0420532,0.0008343550144,798.0420532,-0.0002678371675,798.0420532,0.0001751797827,798.0420532,8.719269681E-5,798.0420532,0.0006894761464,
797.4860229,0.000594878511,797.4860229,0.0008678393788,797.4860229,0.0001185480287,797.4860229,0.001515884418,797.4860229,0.001152755227,797.4860229,0.0004879138432,797.4860229,0.000754972978,797.4860229,0.001500272891,
797.0689697,0.0009114169516,797.0689697,0.001266867388,797.0689697,0.0008716522134,797.0689697,0.001069422462,797.0689697,0.0006491355016,797.0689697,0.0005323604564,797.0689697,0.0008694215794,797.0689697,0.001106636017,
796.5128174,0.0007558805519,796.5128174,0.000678949873,796.5128174,0.0006382213323,796.5128174,6.119874161E-5,796.5128174,0.0006413840456,796.5128174,0.0004167568986,796.5128174,0.0007580847014,796.5128174,0.0009035571129,
795.9564819,0.0006687868154,795.9564819,0.0007454563747,795.9564819,0.0006082541659,795.9564819,0.0009841338033,795.9564819,0.0005931417691,795.9564819,0.0004038794141,795.9564819,0.0008613290265,795.9564819,0.0006251299055,
